Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag
Un'Altra Notte (feat. Priestess),Gemitaiz,0.0379,0.846,0.572,0.00415,1,0.283,-6.988,1,0.0746,127.946,4,0.234,Giuliana
Kids,Old Jim,0.0013,0.616,0.975,0.0192,10,0.147,-5.643,1,0.0608,144.943,4,0.149,Andrea
Hürt No More,FOEVA,0.0152,0.421,0.603,0.0,5,0.0971,-8.305,1,0.199,97.094,3,0.3,Giuliana
Disco Inferno,50 Cent,0.206,0.925,0.659,7.88e-05,3,0.279,-4.763,1,0.231,97.018,4,0.71,Giuliana
Blow The Wind Southerly (Arr. Kanneh-Mason for Cello),Traditional,0.982,0.181,0.0136,0.753,0,0.0783,-27.787,1,0.0638,94.852,4,0.0634,Laura
Can't Get You out of My Head,Mondello'G,0.125,0.853,0.597,0.113,9,0.102,-8.966,1,0.0712,149.992,4,0.633,Andrea
Timbo Indian Flute,Timbaland,0.273,0.695,0.507,0.154,7,0.815,-11.55,1,0.265,87.962,4,0.834,Giuliana
Carcere È Mare,Salvatore Esposito,0.815,0.297,0.149,5.16e-05,0,0.0666,-12.724,1,0.0323,80.596,3,0.0786,Laura
My Shit,A Boogie Wit da Hoodie,0.244,0.812,0.621,0.0,5,0.099,-8.3,1,0.0515,77.998,4,0.847,Giuliana
Swan Lake,Chad Lawson,0.994,0.371,0.00467,0.956,10,0.115,-30.125,1,0.0553,60.928,5,0.226,Laura
Fair Trade (with Travis Scott),Drake,0.0503,0.666,0.465,0.0,1,0.215,-8.545,1,0.26,167.937,4,0.292,Giuliana
"Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)",Robert Schumann,0.984,0.406,0.00921,0.906,2,0.0953,-31.822,1,0.087,80.507,4,0.303,Laura
Too Soon,Tom Ashbrook,0.98,0.229,0.0529,0.96,3,0.0805,-25.292,1,0.0352,82.211,4,0.0785,Laura
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",Céline Dion,0.643,0.463,0.4,2.46e-05,6,0.131,-9.999,0,0.0308,77.314,4,0.121,Laura
"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix",Wisin,0.0464,0.797,0.804,1.54e-05,1,0.317,-4.817,1,0.0711,91.973,4,0.451,Gianluca
I Want To Hold Your Hand - Remastered 2015,The Beatles,0.386,0.49,0.715,0.0,7,0.311,-5.549,1,0.0476,130.726,4,0.866,Erika
Hear Me Now (Techno),FUTURAMI,0.0676,0.76,0.988,0.0205,7,0.245,-7.292,1,0.0767,140.007,4,0.575,Andrea
COLONIA,Pazos,0.675,0.77,0.659,0.0,8,0.103,-5.493,1,0.0922,93.044,4,0.409,Gianluca
The Boys Are Back In Town,Thin Lizzy,0.234,0.445,0.706,0.000252,8,0.205,-9.803,1,0.0461,80.823,4,0.768,Erika
Freestyle,Lil Baby,0.217,0.877,0.517,0.0,2,0.143,-5.426,0,0.0706,119.996,4,0.255,Giuliana
Oui mais Non - Remix,Nicolas Julian,0.0658,0.601,0.955,0.72,1,0.196,-6.603,1,0.0546,159.987,4,0.546,Andrea
Dear Mama,2Pac,0.371,0.773,0.54,0.0,6,0.131,-7.123,1,0.103,84.115,4,0.322,Giuliana
Crystal Meth,XoneZ,0.0137,0.651,0.685,0.11,7,0.179,-10.646,1,0.132,194.95,4,0.378,Andrea
Gimme Love - Armin van Buuren Remix – Radio Edit,Sia,0.0151,0.586,0.928,0.0377,11,0.313,-4.161,1,0.0397,124.97,4,0.428,Andrea
PROVENZA,KAROL G,0.656,0.87,0.516,0.00823,1,0.11,-8.006,1,0.0541,111.005,4,0.53,Gianluca
Super Freaky Girl,Nicki Minaj,0.0645,0.95,0.891,1.77e-05,2,0.309,-2.653,1,0.241,133.01,4,0.912,Giuliana
Duck And Run,3 Doors Down,0.0149,0.524,0.919,7.05e-05,4,0.131,-5.505,0,0.0436,87.931,4,0.848,Erika
Fist On Acid - Techno Mix,Reinier Zonneveld,0.00626,0.715,0.957,0.888,0,0.0967,-7.511,0,0.19,150.0,4,0.199,Andrea
Learning To Breathe,Switchfoot,0.000374,0.524,0.912,0.0424,7,0.302,-3.755,1,0.0315,155.921,4,0.499,Erika
Chulo pt.2,Bad Gyal,0.0602,0.852,0.881,6.44e-06,5,0.0682,-2.546,0,0.126,96.984,4,0.556,Gianluca
Now And Then,The Beatles,0.238,0.442,0.605,6.44e-05,4,0.307,-4.639,0,0.0284,87.194,4,0.358,Erika
What Happened To Virgil (feat. Gunna),Lil Durk,0.067,0.795,0.526,2e-06,6,0.134,-9.086,0,0.204,140.037,4,0.194,Giuliana
No Baila,Ondreaz,0.00704,0.675,0.78,0.0286,11,0.353,-6.552,0,0.229,120.018,4,0.567,Gianluca
The Outsiders - T78 Remix,Christian Cambas,0.00182,0.851,0.904,0.924,2,0.112,-9.654,1,0.0582,126.992,4,0.26,Andrea
Hot Dog,Limp Bizkit,0.00152,0.6,0.938,1.48e-05,1,0.369,-3.615,1,0.0701,101.183,4,0.597,Erika
Feel Good Hit Of The Summer,Queens of the Stone Age,0.0114,0.327,0.929,0.000979,11,0.198,-5.754,1,0.174,164.984,4,0.521,Erika
Be On (AM),Jerome Melo,0.0789,0.679,0.551,0.0,5,0.13,-10.024,1,0.13,122.241,4,0.384,Giuliana
"Passamashloddy - From ""Pete's Dragon""/Soundtrack Version",Red Buttons,0.663,0.444,0.439,0.0,7,0.479,-13.817,1,0.235,82.756,4,0.696,Laura
"Piano Concerto No. 3 in C, Op. 26: 1. Andante - Allegro",Sergei Prokofiev,0.948,0.353,0.254,0.859,0,0.0843,-16.205,1,0.0349,133.808,4,0.0986,Laura
LSD,Will Sparks,0.22,0.578,0.981,0.753,5,0.304,-6.569,0,0.0512,130.038,4,0.203,Andrea
Secreto,Anuel AA,0.602,0.807,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706,Gianluca
QUIZÁS SI QUIZÁS NO,Alvaro Diaz,0.0556,0.654,0.767,0.00118,5,0.305,-5.061,0,0.048,173.933,4,0.615,Gianluca
My Testament,Victoria OB,0.00655,0.729,0.407,0.0128,8,0.146,-11.094,1,0.0381,138.966,4,0.435,Giuliana
The Reason,Hoobastank,0.0127,0.447,0.668,0.0,4,0.152,-4.683,1,0.0294,82.904,4,0.0695,Erika
Dark Places,Cosmic Boys,0.000252,0.657,0.933,0.822,3,0.11,-4.758,1,0.0602,129.996,4,0.094,Andrea
Hola Señorita,GIMS,0.386,0.588,0.796,0.0,0,0.198,-3.945,0,0.262,192.128,4,0.546,Gianluca
Overture,The Cinderella Orchestra,0.794,0.452,0.386,0.816,0,0.327,-5.935,1,0.03,117.239,4,0.518,Laura
"By the Still Waters, Op. 114",Amy Beach,0.993,0.219,0.00913,0.882,1,0.0807,-42.727,1,0.0352,75.77,4,0.0702,Laura
Walk Em Down (feat. Roddy Ricch),NLE Choppa,0.268,0.867,0.744,0.0,2,0.0713,-5.171,1,0.227,84.005,4,0.645,Giuliana
A Little Respect,Erasure,0.00808,0.596,0.598,3.07e-06,0,0.241,-13.409,1,0.0268,113.825,4,0.595,Erika
"Serenade for Strings in E Major, Op. 22, B. 52: IV. Larghetto",Antonín Dvořák,0.645,0.0877,0.0763,0.897,9,0.353,-23.986,1,0.0429,78.535,4,0.0509,Laura
OJOS FERRARI,KAROL G,0.161,0.9,0.707,4.25e-05,1,0.176,-2.792,1,0.0934,124.042,4,0.634,Gianluca
Here Comes The Sun - Remastered 2009,The Beatles,0.0339,0.557,0.54,0.00248,9,0.179,-10.484,1,0.0347,129.171,4,0.394,Erika
Just Like Heaven,The Cure,0.0524,0.437,0.94,0.000573,9,0.222,-6.946,1,0.0426,151.417,4,0.48,Erika
"Goldberg Variations, BWV 988: Var. 21",Johann Sebastian Bach,0.995,0.361,0.0659,0.875,7,0.122,-28.757,0,0.054,85.114,4,0.375,Laura
"Feed The Birds (Tuppence A Bag) - From ""Mary Poppins""/Soundtrack Version",Julie Andrews,0.8,0.275,0.0719,6.77e-06,6,0.0761,-23.473,1,0.0379,88.366,3,0.148,Laura
DOMINGO DE BOTE,Mora,0.121,0.813,0.772,0.0,0,0.0886,-4.921,1,0.117,119.99,4,0.443,Gianluca
"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich,0.969,0.116,0.0694,0.644,0,0.109,-23.624,1,0.0497,169.789,4,0.0377,Laura
Human Error,Zombic,0.00558,0.475,0.931,0.00631,6,0.248,-6.558,1,0.0313,149.946,4,0.41,Andrea
Sixteen Going On Seventeen,Charmian Carr,0.88,0.495,0.174,0.0,2,0.0956,-13.89,1,0.0381,125.729,4,0.265,Laura
Wolves (feat. Post Malone),Big Sean,0.0978,0.724,0.675,9.41e-06,2,0.351,-5.267,1,0.0867,160.048,4,0.325,Giuliana
Getting To Know You - Remastered 2001,Deborah Kerr,0.925,0.476,0.146,0.0,8,0.12,-13.506,1,0.0409,121.296,4,0.388,Laura
My fellow creatures,Carlos Cipa,0.995,0.321,0.00611,0.908,4,0.09,-38.341,0,0.0362,104.311,4,0.0693,Laura
Out of the Void,Kaspar,0.00306,0.67,0.865,0.858,7,0.11,-6.354,1,0.129,131.97,4,0.0766,Andrea
"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,0.922,0.0769,0.0846,0.929,2,0.113,-25.997,1,0.045,176.329,4,0.0586,Laura
Pride (In The Name Of Love) - Remastered 2009,U2,0.00135,0.458,0.843,0.000296,4,0.778,-7.201,1,0.0316,105.701,4,0.713,Erika
Nos Comemos (feat. Ozuna),Tiago PZK,0.1,0.827,0.819,0.0,6,0.089,-3.701,1,0.052,92.017,4,0.562,Gianluca
Columbiana,Tayna,0.0877,0.788,0.713,1.35e-05,10,0.139,-5.249,0,0.202,97.0,4,0.702,Gianluca
Boomsie Riddim Medley,BeatsbyBi,0.0141,0.557,0.824,0.0,2,0.354,-5.699,1,0.349,100.281,4,0.479,Giuliana
Halbes Teilchen (In der Techno-Bäckerei),Honk!,0.0323,0.635,0.909,0.177,0,0.236,-7.665,1,0.0549,134.968,4,0.201,Andrea
"Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)",Craig Mack,0.272,0.52,0.847,0.0,9,0.325,-5.3,1,0.427,177.371,4,0.799,Giuliana
Transformer - Original Mix,Xenia (UA),0.0357,0.697,0.872,0.14,4,0.0775,-5.775,0,0.0644,134.992,3,0.183,Andrea
Pictures Of You - Hypertechno,Hyper Hamster,0.0599,0.703,0.946,6.33e-06,2,0.759,-4.386,1,0.368,150.019,4,0.674,Andrea
Cry Baby,Janis Joplin,0.514,0.474,0.418,0.000343,0,0.0535,-9.654,1,0.0299,83.308,3,0.504,Erika
Scared To Be Lonely (Techno),FUTURAMI,0.33,0.717,0.679,0.000317,6,0.32,-8.938,1,0.26,145.006,4,0.583,Andrea
LA CHAMBA,Arcángel,0.197,0.802,0.84,0.0,7,0.386,-3.209,1,0.067,94.012,4,0.689,Gianluca
365,Biscits,0.0181,0.81,0.554,0.00718,11,0.73,-17.77,0,0.192,127.019,4,0.79,Andrea
In My Head,Lil Tjay,0.159,0.684,0.545,0.0,1,0.102,-6.885,1,0.121,143.049,4,0.407,Giuliana
Rock 'n' Roll High School - 2002 Remaster,Ramones,0.0183,0.499,0.87,0.0,0,0.0512,-4.431,1,0.126,188.853,4,0.893,Erika
"Sonata for 2 Pianos in D Major, K. 448/375a: I. Allegro con spirito",Wolfgang Amadeus Mozart,0.99,0.376,0.18,0.879,9,0.097,-21.004,1,0.0329,132.125,4,0.555,Laura
Detox,Lil Baby,0.027,0.845,0.503,0.0,1,0.116,-7.021,1,0.334,147.031,4,0.416,Giuliana
Huhhh [VIP],QUIX,0.0199,0.477,0.988,0.811,8,0.0797,-2.447,1,0.251,169.981,4,0.378,Andrea
Smells Like Teen Spirit,Nirvana,2.55e-05,0.502,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,4,0.72,Erika
"Touch It - Remix/Featuring Mary J. Blige, Rah Digga, Missy Elliot, Lloyd Banks, Papoose & DMX (Explcit)",Busta Rhymes,0.0363,0.686,0.608,0.0,1,0.104,-7.293,1,0.386,68.308,3,0.452,Giuliana
YO NO QUIERO SER,Suarez,0.205,0.644,0.646,0.0,8,0.124,-8.614,0,0.0402,100.04,4,0.537,Gianluca
Trakatá,Ptazeta,0.127,0.906,0.626,6.56e-06,5,0.0546,-5.533,1,0.254,93.03,4,0.561,Gianluca
Follow,Amelie Lens,0.0375,0.725,0.908,0.822,7,0.108,-8.798,1,0.0345,128.006,4,0.134,Andrea
5% TINT,Travis Scott,0.173,0.712,0.481,0.0,4,0.241,-5.415,0,0.0487,140.0,4,0.062,Giuliana
Ruthless,Dylan Carbone,0.113,0.827,0.641,0.0,4,0.0769,-6.464,0,0.0828,103.903,4,0.331,Giuliana
"Shall We Dance? - From ""The King And I"" Soundtrack / Remastered 2001",Deborah Kerr,0.758,0.47,0.265,1.96e-05,3,0.0765,-12.286,1,0.0392,101.581,4,0.451,Laura
Whenever Wherever (Techno),Way 2 Fast,0.00542,0.821,0.932,0.0133,1,0.155,-8.062,0,0.0633,141.976,4,0.706,Andrea
GANGSTER (PQFNEDG),Ovy On The Drums,0.222,0.627,0.828,0.0,9,0.109,-3.586,0,0.124,176.08,4,0.712,Gianluca
Lust For Life,Iggy Pop,0.0125,0.2,0.943,0.0,9,0.139,-8.217,1,0.0544,203.243,4,0.778,Erika
Vergessen,Klanglos,0.00793,0.794,0.879,0.827,2,0.218,-7.344,0,0.0894,130.001,4,0.0381,Andrea
Camelot,NLE Choppa,0.0849,0.787,0.713,0.0,7,0.717,-5.252,1,0.401,175.046,4,0.761,Giuliana
Rosas En Graná,Quesada,0.27,0.828,0.638,0.0,8,0.184,-6.196,1,0.0393,107.974,4,0.262,Gianluca
T is for Techno,Akumashi,0.0259,0.663,0.877,0.916,11,0.11,-5.894,0,0.198,150.022,4,0.0482,Andrea
Y Si la Ves,Ñejo,0.509,0.635,0.682,2.29e-05,4,0.807,-6.239,0,0.285,78.761,4,0.746,Gianluca
Picky,Joey Montana,0.147,0.783,0.748,0.0,8,0.173,-4.683,1,0.0892,93.222,4,0.806,Gianluca
Try Me,Stt Laurentt,0.072,0.737,0.572,0.000637,10,0.134,-10.752,0,0.123,91.509,4,0.312,Giuliana
Hot In Herre,Nelly,0.206,0.956,0.745,0.0,11,0.0615,-4.753,0,0.12,107.075,4,0.912,Giuliana
Comfortably Numb - 2011 Remastered Version,Pink Floyd,0.153,0.479,0.309,0.22,11,0.134,-14.751,0,0.0299,127.155,4,0.182,Erika
Check Yo Self - Remix,Ice Cube,0.031,0.934,0.735,8.6e-06,1,0.107,-6.668,1,0.251,101.368,4,0.768,Giuliana
With Or Without You,U2,0.000202,0.54,0.429,0.355,2,0.141,-11.822,1,0.0285,110.171,4,0.113,Erika
Shake The Room (feat. Quavo),Pop Smoke,0.142,0.733,0.684,0.0,2,0.179,-4.748,1,0.177,142.04,4,0.437,Giuliana
RON COLA,Rauw Alejandro,0.417,0.739,0.682,3.95e-05,9,0.105,-5.121,0,0.0972,94.048,4,0.476,Gianluca
With a Little Bit of Luck,Stanley Holloway,0.872,0.677,0.6,5.78e-05,0,0.222,-10.504,1,0.0738,122.298,4,0.91,Laura
Solo de Mi,Bad Bunny,0.287,0.743,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15,Gianluca
I Like It (I Wanna Be Where You Are),Grand Puba,0.0613,0.865,0.641,0.000106,10,0.218,-6.652,0,0.162,95.307,4,0.761,Giuliana
"Lyric Pieces, Book 5, Op. 54: Nocturne",Edvard Grieg,0.987,0.296,0.0435,0.857,0,0.0786,-29.73,1,0.0411,72.282,1,0.0302,Laura
Party All The Time,Hannah Laing,0.0103,0.668,0.971,0.0146,7,0.252,-4.018,0,0.0999,140.006,4,0.292,Andrea
Tusa,KAROL G,0.295,0.803,0.715,0.000134,2,0.0574,-3.28,1,0.298,101.085,4,0.574,Gianluca
Coke & Rum,HÄWK,0.0365,0.676,0.96,0.623,7,0.147,-6.676,0,0.0635,125.981,4,0.37,Andrea
Midwayer,Joep Beving,0.991,0.326,0.0735,0.873,0,0.0481,-24.975,1,0.0419,135.209,3,0.0875,Laura
Nos Comemos Vivos,Maluma,0.165,0.822,0.719,2.48e-05,10,0.174,-3.633,0,0.0576,82.01,4,0.659,Gianluca
Slay Ride,Triz Nathaniel,0.0244,0.849,0.542,0.0,5,0.0858,-10.394,0,0.407,152.131,4,0.607,Giuliana
Dame Tu Amor,Isaac Way,0.681,0.652,0.612,0.0,1,0.11,-3.423,0,0.364,186.136,4,0.352,Gianluca
Hotel California - 2013 Remaster,Eagles,0.00574,0.579,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,0.609,Erika
My Dargs,L DOT,0.133,0.727,0.761,0.0,10,0.0614,-7.87,0,0.178,102.109,4,0.961,Giuliana
Want You Bad,The Offspring,5.59e-05,0.491,0.966,0.0,4,0.307,-4.28,1,0.0538,105.544,4,0.614,Erika
Back In Black,AC/DC,0.011,0.31,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763,Erika
Love The Things You Do,Idetto,0.181,0.66,0.906,0.00588,2,0.116,-5.806,1,0.0592,140.009,4,0.295,Andrea
The Last Dance - Alignment Remix,Regal,0.000219,0.599,0.997,0.918,0,0.314,-6.914,0,0.097,144.003,4,0.0729,Andrea
Where Them Girls At - Hypertechno,Hyper Hamster,0.0707,0.8,0.479,0.0,11,0.125,-6.749,1,0.241,142.023,4,0.744,Andrea
Elevation,U2,0.000974,0.578,0.807,0.000416,9,0.0526,-8.078,1,0.0361,110.053,4,0.384,Erika
Ella - Remix,Boza,0.341,0.747,0.812,0.000131,3,0.174,-4.274,0,0.111,180.062,4,0.884,Gianluca
"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,0.958,0.25,0.135,0.0349,9,0.0477,-18.615,1,0.0488,94.404,4,0.179,Laura
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,0.278,0.694,0.758,1.34e-06,11,0.102,-2.986,1,0.218,192.091,4,0.371,Gianluca
Instagram - Remix,Blessd,0.199,0.787,0.677,0.000316,11,0.0584,-2.825,1,0.228,179.951,4,0.966,Gianluca
Everlong,Foo Fighters,5.99e-05,0.413,0.881,0.000308,11,0.0805,-5.541,0,0.0367,158.066,4,0.364,Erika
Touch Me,The Doors,0.405,0.425,0.903,0.0128,1,0.117,-4.801,1,0.0732,108.748,4,0.769,Erika
Just A Lil Bit,50 Cent,0.0322,0.489,0.692,0.00608,1,0.315,-6.672,1,0.41,96.946,4,0.527,Giuliana
The Door,Space 92,0.00271,0.776,0.958,0.915,11,0.0645,-4.141,0,0.0625,131.008,4,0.143,Andrea
Hatin,Drebo Squeeze,0.144,0.746,0.347,0.0,4,0.121,-5.37,0,0.473,156.962,4,0.0947,Giuliana
Bonita,J Balvin,0.0132,0.775,0.867,0.00684,5,0.278,-1.582,0,0.0414,96.038,4,0.869,Gianluca
Travesuras,Nicky Jam,0.126,0.773,0.593,0.0,1,0.0786,-11.948,1,0.104,93.984,4,0.883,Gianluca
Moscow Mule,Bad Bunny,0.294,0.804,0.674,1.18e-06,5,0.115,-5.453,0,0.0333,99.968,4,0.292,Gianluca
Gin and Juice,Snoop Dogg,0.0953,0.603,0.762,1.53e-05,4,0.478,-7.744,0,0.285,94.726,4,0.379,Giuliana
Y Que Fue - Remix,Lamaskeproduce,0.033,0.89,0.496,0.279,1,0.283,-10.733,0,0.0729,133.006,4,0.859,Gianluca
Locked Out Of Heaven (Techno),CHXSE WAVE,0.346,0.88,0.501,6.53e-05,7,0.377,-8.022,0,0.439,140.002,4,0.561,Andrea
With Arms Wide Open,Creed,0.00425,0.41,0.539,0.00089,0,0.117,-8.412,1,0.0302,138.852,4,0.141,Erika
One Step Closer,Linkin Park,0.0014,0.492,0.969,1.32e-06,9,0.0787,-4.419,1,0.0491,95.136,4,0.538,Erika
Where The Streets Have No Name - Remastered,U2,0.00976,0.49,0.724,0.0046,2,0.159,-9.581,1,0.0366,125.812,4,0.292,Erika
Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Gustav Mahler,0.896,0.0783,0.0523,0.945,5,0.0806,-23.247,1,0.0471,82.015,4,0.0327,Laura
Lento,Boro,0.378,0.651,0.864,0.0,8,0.227,-5.799,0,0.225,181.936,4,0.812,Gianluca
The Invisible Man - Remastered 2011,Queen,0.188,0.704,0.792,0.0155,0,0.328,-6.94,1,0.0422,119.994,4,0.563,Erika
